age,gender,mbti,styles
20,female,ISFJ,"모더니즘, 젠더뉴트럴, 빅토리아, 카운트리, 서스테이너블"
22,female,ESFP,"로맨틱, 모더니즘, 빅토리아, 젠더뉴트럴, 서스테이너블, 키치, 보헤미안, 에스닉"
22,female,ISFJ,"모더니즘, 보헤미안, 미니멀리즘, 카운트리, 빅토리아"
24,female,INFJ,"미니멀리즘, 젠더뉴트럴, 고전주의, 카운트리, 빈티지, 복고풍, 아르누보, 빅토리아"
23,female,ISTP,"모노크롬, 스포티, 인더스트리얼, 젠더뉴트럴, 미니멀리즘, 하이테크"
22,female,INFP,"빅토리아, 코티지코어, 젠더뉴트럴, 아르누보, 카운트리, 미니멀리즘, 서스테이너블, 로맨틱"
29,male,ESTJ,"아방가르드, 하이테크, 젠더뉴트럴, 모더니즘, 모노크롬, 스트리트웨어, 스포티, 인더스트리얼, 미니멀리즘"
25,male,ESTJ,"빈티지, 피트니스, 하이테크, 코티지코어, 노마드, 복고풍"
24,female,INFJ,"빅토리아, 젠더뉴트럴, 고전주의, 복고풍, 빈티지, 미니멀리즘, 카운트리, 아르누보"
21,female,ENTJ,"코티지코어, 모더니즘, 서스테이너블, 노마드, 사이버펑크, 미니멀리즘, 스포티, 고전주의, 젠더뉴트럴, 모노크롬, 빅토리아"
21,female,INFP,"사이버펑크, 팝아트, 스트리트웨어, 키치, 펑크"
22,male,INTJ,"모더니즘, 아르누보, 서스테이너블, 미니멀리즘, 아방가르드"
23,female,INTJ,"모더니즘, 사이버펑크, 모노크롬, 빈티지, 고전주의, 젠더뉴트럴, 아르누보"
25,female,INTP,"복고풍, 카운트리, 키치, 에스닉, 보헤미안, 아르누보, 팝아트, 스트리트웨어, 코티지코어, 빅토리아, 고전주의"
24,male,ISFP,"코티지코어, 하이테크, 스포티, 스트리트웨어, 젠더뉴트럴"
25,male,ESTJ,"피트니스, 하이테크, 복고풍, 코티지코어, 노마드, 빈티지"
24,female,ISFJ,"젠더뉴트럴, 카운트리, 빅토리아, 서스테이너블, 모더니즘"
21,female,INTP,"아방가르드, 보헤미안, 하이테크, 로맨틱, 모더니즘, 젠더뉴트럴, 아르데코, 고전주의, 아르누보, 복고풍, 빅토리아"
25,female,INTP,"빅토리아, 고전주의, 복고풍, 모더니즘, 사이버펑크"
25,male,ISFJ,"모더니즘, 하이테크, 빈티지, 미니멀리즘, 카운트리, 복고풍, 스포티, 모노크롬, 젠더뉴트럴"
22,female,ESFP,"빅토리아, 젠더뉴트럴, 보헤미안, 서스테이너블, 로맨틱, 키치, 에스닉, 모더니즘"
22,female,ENTJ,"코티지코어, 고전주의, 서스테이너블, 빅토리아, 모노크롬, 노마드, 사이버펑크, 모더니즘, 스포티, 미니멀리즘, 젠더뉴트럴"
23,male,ISFP,"카운트리, 젠더뉴트럴, 그런지, 모더니즘, 빈티지, 아방가르드, 미니멀리즘, 서스테이너블, 스트리트웨어, 코티지코어, 모노크롬, 복고풍"
23,female,ESTP,"서스테이너블, 아르누보, 코티지코어, 젠더뉴트럴, 모더니즘"
24,female,ISTJ,"모더니즘, 미니멀리즘, 키치, 코티지코어, 팝아트"
22,male,INTJ,"아르누보, 미니멀리즘, 아방가르드, 서스테이너블, 모더니즘"
20,female,ISFJ,"미니멀리즘, 카운트리, 로맨틱, 빅토리아, 펑크"
22,female,INFJ,"모노크롬, 빈티지, 모더니즘, 서스테이너블, 미니멀리즘, 코티지코어, 고전주의"
22,male,INFJ,"그런지, 모노크롬, 빈티지, 아방가르드, 고전주의"
25,female,ESTP,"보헤미안, 모더니즘, 하이테크, 키치, 사이버펑크, 스트리트웨어, 복고풍, 빅토리아"
24,female,ESFP,"미니멀리즘, 빅토리아, 서스테이너블, 젠더뉴트럴, 고전주의, 복고풍, 아르데코, 모더니즘"
22,male,INFJ,"아르데코, 모더니즘, 모노크롬, 미니멀리즘, 카운트리"
21,female,ISFJ,"하이테크, 펑크, 키치, 복고풍, 팝아트"
24,female,ISTJ,"스포티, 피트니스, 사이버펑크, 하이테크, 모더니즘, 서스테이너블, 미니멀리즘, 빅토리아, 모노크롬"
18,female,ESTP,"그런지, 펑크, 고전주의, 복고풍"
22,male,INTJ,"미니멀리즘, 아방가르드, 모더니즘, 아르누보, 서스테이너블"
22,female,ISFJ,"빅토리아, 젠더뉴트럴, 로맨틱, 사이버펑크, 미니멀리즘"
25,female,ISTP,"젠더뉴트럴, 스포티, 인더스트리얼, 모노크롬, 미니멀리즘, 하이테크"
20,female,INTJ,"사이버펑크, 고전주의, 젠더뉴트럴, 아르누보, 모노크롬, 빈티지, 모더니즘"
21,female,ISTP,"에스닉, 코티지코어, 서스테이너블, 인더스트리얼, 모노크롬, 모더니즘, 로맨틱, 젠더뉴트럴, 빈티지, 아르누보, 고전주의, 미니멀리즘, 아방가르드, 빅토리아, 카운트리, 사이버펑크, 그런지"
24,female,ISFP,"서스테이너블, 모더니즘, 젠더뉴트럴, 코티지코어, 하이테크"
18,female,ISTP,"스포티, 카운트리, 젠더뉴트럴, 모더니즘, 미니멀리즘"
25,secret,INTP,"그런지, 보헤미안, 아르데코, 모노크롬, 아르누보, 인더스트리얼"
18,female,ISTP,"스포티, 미니멀리즘, 젠더뉴트럴, 카운트리, 모더니즘"
22,female,INFJ,"복고풍, 빅토리아, 미니멀리즘, 아르누보, 빈티지, 고전주의, 젠더뉴트럴, 카운트리"
22,male,ESTP,"하이테크, 스트리트웨어, 모더니즘, 고전주의, 모노크롬"
21,female,ISTJ,"모더니즘, 서스테이너블, 미니멀리즘, 피트니스, 사이버펑크, 하이테크, 모노크롬, 스포티, 빅토리아"
25,secret,ISTP,"복고풍, 코티지코어, 고전주의, 젠더뉴트럴, 인더스트리얼, 모더니즘, 카운트리, 서스테이너블, 미니멀리즘, 아르누보"
20,female,ISTJ,"모더니즘, 인더스트리얼, 에스닉, 모노크롬, 젠더뉴트럴"
23,female,ISTP,"젠더뉴트럴, 스포티, 인더스트리얼, 미니멀리즘, 하이테크, 모노크롬"
24,female,ESFP,"미니멀리즘, 아르데코, 그런지, 코티지코어, 아방가르드"
18,male,ISTP,"보헤미안, 모더니즘, 코티지코어, 아방가르드, 인더스트리얼, 카운트리"
19,female,ESTP,"복고풍, 모더니즘, 하이테크, 고전주의, 모노크롬"
21,female,INFP,"빅토리아, 사이버펑크, 서스테이너블, 그런지, 코티지코어, 모더니즘"
23,female,INFP,"펑크, 팝아트, 사이버펑크, 스트리트웨어, 키치"
21,female,INTP,"젠더뉴트럴, 미니멀리즘, 키치, 모더니즘, 보헤미안, 모노크롬"
24,male,INFJ,"빈티지, 고전주의, 그런지, 아방가르드, 모노크롬"
18,female,ISTP,"젠더뉴트럴, 모더니즘, 미니멀리즘, 스포티, 카운트리"
22,female,ESTP,"모더니즘, 아르누보, 코티지코어, 서스테이너블, 젠더뉴트럴"
26,female,ISTP,"고전주의, 빈티지, 미니멀리즘, 빅토리아, 젠더뉴트럴, 코티지코어"
23,female,INFP,"아르누보, 복고풍, 젠더뉴트럴, 서스테이너블, 보헤미안, 카운트리"
26,female,INTP,"사이버펑크, 모더니즘, 복고풍, 고전주의, 빅토리아"
22,female,ISFP,"하이테크, 젠더뉴트럴, 서스테이너블, 코티지코어, 모더니즘"
22,male,ESTP,"하이테크, 스트리트웨어, 고전주의, 모노크롬, 모더니즘"
22,female,ISTJ,"모더니즘, 키치, 팝아트, 코티지코어, 미니멀리즘"
21,female,ISTJ,"사이버펑크, 모더니즘, 미니멀리즘, 카운트리, 빅토리아"
25,female,INFP,"카운트리, 코티지코어, 빅토리아, 서스테이너블, 아르누보, 보헤미안"
26,female,ISFP,"빅토리아, 모더니즘, 아르누보, 서스테이너블, 젠더뉴트럴, 복고풍, 고전주의"
26,female,INFP,"빅토리아, 서스테이너블, 아르누보, 코티지코어, 카운트리, 보헤미안"
23,female,ISTJ,"미니멀리즘, 카운트리, 모더니즘, 사이버펑크, 빅토리아"
23,male,ENFP,"젠더뉴트럴, 스트리트웨어, 미니멀리즘, 모더니즘, 아르누보, 하이테크"
22,female,INFJ,"빅토리아, 카운트리, 젠더뉴트럴, 미니멀리즘, 아르누보, 빈티지, 복고풍, 고전주의"
18,female,ISTP,"스포티, 카운트리, 미니멀리즘, 젠더뉴트럴, 모더니즘"
23,male,ENTP,"고전주의, 모노크롬, 노마드, 하이테크, 모더니즘, 빈티지, 미니멀리즘, 보헤미안, 인더스트리얼"
25,female,ENFP,"아르누보, 모노크롬, 미니멀리즘, 젠더뉴트럴, 아르데코, 고전주의"
21,male,ISTP,"미니멀리즘, 빈티지, 스트리트웨어, 모더니즘, 복고풍"
23,male,ENFP,"젠더뉴트럴, 미니멀리즘, 스트리트웨어, 모더니즘, 아르누보, 하이테크"
20,female,ISFJ,"미니멀리즘, 펑크, 빅토리아, 로맨틱, 카운트리"
20,female,ENFP,"아르누보, 젠더뉴트럴, 미니멀리즘, 코티지코어, 서스테이너블"
22,male,ISFJ,"그런지, 사이버펑크, 스트리트웨어, 모더니즘, 미니멀리즘, 아르데코"
21,female,INFP,"스트리트웨어, 펑크, 팝아트, 사이버펑크, 키치"
22,male,ISFJ,"스포티, 젠더뉴트럴, 모노크롬, 복고풍, 미니멀리즘, 카운트리, 모더니즘, 하이테크, 빈티지"
25,female,INFJ,"젠더뉴트럴, 미니멀리즘, 빈티지, 고전주의, 카운트리, 아르누보, 빅토리아, 복고풍"
23,female,ISFJ,"미니멀리즘, 사이버펑크, 빅토리아, 젠더뉴트럴, 로맨틱"
23,female,ENFP,"아르누보, 젠더뉴트럴, 모노크롬, 아르데코, 고전주의, 미니멀리즘"
24,female,ISFP,"코티지코어, 카운트리, 빅토리아, 미니멀리즘, 고전주의, 스트리트웨어"
20,male,INFJ,"모더니즘, 노마드, 고전주의, 미니멀리즘"
19,female,ESTP,"아르누보, 서스테이너블, 젠더뉴트럴, 모더니즘, 코티지코어"
24,female,ISTJ,"모더니즘, 빅토리아, 미니멀리즘, 피트니스, 사이버펑크, 하이테크, 모노크롬, 스포티, 서스테이너블"
24,male,ISFP,"미니멀리즘, 모더니즘, 그런지, 스트리트웨어, 젠더뉴트럴, 모노크롬, 카운트리, 코티지코어, 서스테이너블, 빈티지, 복고풍, 아방가르드"
23,female,ENTJ,"코티지코어, 스포티, 노마드, 빅토리아, 젠더뉴트럴, 사이버펑크, 서스테이너블, 고전주의, 모더니즘, 미니멀리즘, 모노크롬"
24,female,ENTJ,"코티지코어, 빅토리아, 로맨틱, 서스테이너블"
25,female,ISTP,"코티지코어, 모더니즘, 모노크롬, 미니멀리즘, 아방가르드, 카운트리, 그런지, 빈티지, 인더스트리얼, 빅토리아, 서스테이너블, 고전주의, 젠더뉴트럴, 아르누보, 로맨틱, 에스닉, 사이버펑크"
25,female,ENTJ,"미니멀리즘, 카운트리, 코티지코어, 모노크롬, 젠더뉴트럴, 로맨틱, 서스테이너블, 모더니즘, 고전주의, 하이테크"
25,male,ENFJ,"스트리트웨어, 그런지, 사이버펑크, 빅토리아, 코티지코어, 인더스트리얼, 보헤미안, 모더니즘"
20,female,INTJ,"모더니즘, 사이버펑크, 모노크롬, 고전주의, 아르누보, 빈티지, 젠더뉴트럴"
25,female,ISFP,"서스테이너블, 복고풍, 빅토리아, 모더니즘, 고전주의, 아르누보, 젠더뉴트럴"
22,male,ISFJ,"피트니스, 사이버펑크, 코티지코어, 서스테이너블, 스포티, 하이테크, 빅토리아"
26,male,ESTP,"하이테크, 스트리트웨어, 고전주의, 모더니즘, 모노크롬"
51,male,ENFP,"아르누보, 고전주의, 젠더뉴트럴, 아방가르드, 사이버펑크, 그런지"
25,female,ISFJ,"젠더뉴트럴, 미니멀리즘, 로맨틱, 사이버펑크, 빅토리아"
26,female,ISFP,"서스테이너블, 젠더뉴트럴, 빅토리아, 아르누보, 복고풍, 모더니즘, 고전주의"
22,female,INTP,"복고풍, 아방가르드, 키치, 보헤미안, 사이버펑크"
56,male,ISFJ,"모더니즘, 보헤미안, 젠더뉴트럴, 빈티지, 복고풍, 서스테이너블, 코티지코어, 빅토리아"
25,male,ISTP,"서스테이너블, 모더니즘, 사이버펑크, 빅토리아, 모노크롬, 복고풍"
25,male,ESTJ,"하이테크, 복고풍, 코티지코어, 피트니스, 빈티지, 노마드"
21,female,ISFP,"스트리트웨어, 카운트리, 미니멀리즘, 고전주의, 빅토리아, 코티지코어"
23,female,ISTJ,"사이버펑크, 카운트리, 모더니즘, 미니멀리즘, 빅토리아"
24,female,ENTJ,"사이버펑크, 모더니즘, 미니멀리즘, 젠더뉴트럴, 서스테이너블, 노마드, 모노크롬, 고전주의, 스포티, 빅토리아, 코티지코어"
23,female,ISTJ,"에스닉, 젠더뉴트럴, 모노크롬, 인더스트리얼, 모더니즘"
22,male,INTJ,"미니멀리즘, 아방가르드, 아르누보, 서스테이너블, 모더니즘"
23,female,ENTJ,"카운트리, 고전주의, 로맨틱, 코티지코어, 모노크롬, 모더니즘, 미니멀리즘, 서스테이너블, 젠더뉴트럴, 하이테크"
23,female,INTP,"에스닉, 고전주의, 코티지코어, 키치, 보헤미안, 카운트리, 복고풍, 스트리트웨어, 팝아트, 빅토리아, 아르누보"
25,female,ESFP,"아르데코, 서스테이너블, 복고풍, 빅토리아, 고전주의, 모더니즘, 미니멀리즘, 젠더뉴트럴"
24,female,ISTP,"미니멀리즘, 젠더뉴트럴, 인더스트리얼, 모노크롬, 하이테크, 스포티"
23,female,ISFP,"인더스트리얼, 보헤미안, 모노크롬, 키치, 미니멀리즘, 모더니즘, 젠더뉴트럴"
24,female,ISTJ,"인더스트리얼, 서스테이너블, 아르누보, 미니멀리즘, 하이테크, 젠더뉴트럴, 그런지, 모더니즘"
53,male,ENFP,"아르누보, 아방가르드, 사이버펑크, 그런지, 고전주의, 젠더뉴트럴"
18,female,ISTP,"서스테이너블, 코티지코어, 빅토리아, 모더니즘, 젠더뉴트럴"
21,male,INFJ,"노마드, 미니멀리즘, 모더니즘, 고전주의"
23,female,ISFP,"고전주의, 모더니즘, 빅토리아, 미니멀리즘, 사이버펑크"
21,male,ISTP,"미니멀리즘, 모더니즘, 복고풍, 빈티지, 스트리트웨어"
21,male,INFJ,"그런지, 고전주의, 모노크롬, 빈티지, 아방가르드"
19,female,ESTP,"모노크롬, 복고풍, 모더니즘, 고전주의, 하이테크"
22,female,ENTJ,"모노크롬, 스포티, 미니멀리즘, 빅토리아, 사이버펑크, 코티지코어, 노마드, 모더니즘, 고전주의, 서스테이너블, 젠더뉴트럴"
20,male,ISTP,"미니멀리즘, 스트리트웨어, 빈티지, 복고풍, 모더니즘"
20,female,ISTJ,"젠더뉴트럴, 모더니즘, 인더스트리얼, 모노크롬, 에스닉"
23,male,ISFJ,"하이테크, 코티지코어, 사이버펑크, 스포티, 피트니스, 빅토리아, 서스테이너블"
54,male,ISFJ,"서스테이너블, 보헤미안, 젠더뉴트럴, 모더니즘, 코티지코어, 빈티지, 복고풍, 빅토리아"
26,male,ENFJ,"보헤미안, 빅토리아, 인더스트리얼, 그런지, 코티지코어, 모더니즘, 스트리트웨어, 사이버펑크"
20,female,ISFP,"빅토리아, 카운트리, 고전주의, 코티지코어, 스트리트웨어, 미니멀리즘"
57,male,ISFJ,"빅토리아, 복고풍, 코티지코어, 빈티지, 젠더뉴트럴, 모더니즘, 보헤미안, 서스테이너블"
22,female,ISTJ,"모더니즘, 인더스트리얼, 에스닉, 젠더뉴트럴, 모노크롬"
25,male,ENFP,"아방가르드, 인더스트리얼, 복고풍, 미니멀리즘, 스포티, 젠더뉴트럴, 모노크롬, 하이테크, 사이버펑크, 서스테이너블, 피트니스, 모더니즘, 아르데코, 보헤미안, 코티지코어"
21,female,ISFJ,"팝아트, 키치, 하이테크, 복고풍, 펑크"
23,female,INFP,"보헤미안, 서스테이너블, 젠더뉴트럴, 카운트리, 아르누보, 복고풍"
23,female,INFP,"젠더뉴트럴, 보헤미안, 복고풍, 서스테이너블, 아르누보, 카운트리"
22,female,ISFJ,"미니멀리즘, 로맨틱, 사이버펑크, 빅토리아, 젠더뉴트럴"
24,female,ESFP,"서스테이너블, 보헤미안, 젠더뉴트럴, 모더니즘, 빅토리아, 에스닉, 키치, 로맨틱"
28,male,ENFP,"빅토리아, 고전주의, 복고풍, 코티지코어"
54,female,ESFJ,"젠더뉴트럴, 미니멀리즘, 복고풍, 보헤미안, 고전주의"
20,female,ISFJ,"빅토리아, 미니멀리즘, 로맨틱, 카운트리, 펑크"
26,female,ISFJ,"코티지코어, 빅토리아, 카운트리, 서스테이너블, 미니멀리즘, 젠더뉴트럴"
31,male,ESTJ,"스포티, 미니멀리즘, 스트리트웨어, 모노크롬, 모더니즘, 인더스트리얼, 젠더뉴트럴, 아방가르드, 하이테크"
21,female,ISFP,"모노크롬, 미니멀리즘, 키치, 인더스트리얼, 모더니즘, 젠더뉴트럴, 보헤미안"
18,female,INTJ,"복고풍, 고전주의, 모더니즘, 모노크롬, 빅토리아, 미니멀리즘"
25,female,ISFJ,"복고풍, 모더니즘, 고전주의, 미니멀리즘, 젠더뉴트럴"
25,female,ESFJ,"서스테이너블, 모더니즘, 미니멀리즘, 아르누보, 고전주의"
25,female,ISFJ,"빅토리아, 보헤미안, 모더니즘, 카운트리, 미니멀리즘"
23,female,ISTJ,"모더니즘, 사이버펑크, 하이테크, 피트니스, 빅토리아, 미니멀리즘, 모노크롬, 스포티, 서스테이너블"
26,female,INFP,"코티지코어, 카운트리, 빅토리아, 보헤미안, 아르누보, 서스테이너블"
